KEY,en,pl
LIVINGPOKERS_0_1,Any one of these things would make a fine weapon. If only your STRIFE SPECIBUS wasn't already allocated. Oh well.,Każda z tych rzeczy mogłaby posłużyć za fajną broń. Gdyby tylko twój TYP BRONI nie został już przyporządkowany. No cóż.
LIVINGURN_0_0,TOPPLE THIS URN IMMEDIATELY.,WYWRÓĆ TĘ URNĘ NATYCHMIAST.
LIVINGURN_0_1,"That would be disrespectful to your NANNA! You just won't do it!! Or not intentionally at least!!!

You consider that it is fortunate she is no longer around to witness this sorrow. On the other hand, you would probably benefit from her elderly wisdom now...","To byłby brak szacunku dla twojej BABCI! Nie zrobisz tego!! A przynajmniej nie specjalnie!!!

Uważasz, że to szczęście, że już jej tu nie ma, aby doświadczyć tego smutku. Z drugiej strony, prawdopodobnie skorzystałbyś teraz z jej mądrości..."
LIVINGSOOT_0_0,"STOW LUMP OF SOOT FOR FUTURE USE, BOY.","SCHOWAJ GRUDKĘ SADZY W CELU PRZYSZŁEGO UŻYTKU, CHŁOPCZE."
LIVINGSOOT_0_1,"That stuff is really dirty and you don't want it!

Besides, you have it on good authority that a significant portion of it is comprised of asbestos.","To jest strasznie brudne i nie chcesz tego!

Poza tym wiesz z pewnego źródła, że znaczna część tego jest
złożona z azbestu."
LIVINGLID_0_0,USE THIS TO RESEAL THAT OPENING THERE.,UŻYJ TEGO BY ZAPIECZĘTOWAĆ Z POWROTEM TEN OTWÓR TUTAJ.
LIVINGLID_0_1,"If only putting the lid back on the CRUXTRUDER would undo all it's done. Alas, Pandora's Tube has been opened.","Gdyby tylko założenie z powrotem wieka na WYSEDNIARKĘ mogło odczynić wszystko, co zrobiła. Niestety, Tuba Pandory została otwarta."
LIVINGPIE_0_0,A SMALL DESSERT TRAY? USELESS.,MAŁA TACKA DESEROWA? BEZUŻYTECZNE.
LIVINGPIE_0_1,"In retrospect, it was pretty funny when your DAD pied you like that. Gotcha'd again by the old man!","Z perspektywy czasu, to było całkiem zabawne, gdy twój TATA obrzucił cię ciastem w ten sposób. Twój staruszek znowu cię załatwił!"
LIVINGLAMP_0_0,WHY DOES THIS SMALL MAN STAND HERE?,DLACZEGO TEN MAŁY CZŁOWIEK TUTAJ STOI?
LIVINGLAMP_0_1,"This HARLEQUIN is always ready to serve you with illumination, whether you're reading a book, or just enjoying a nice pipe.","Ten HARLEKIN zawsze służy ci oświetleniem, czy czytasz książkę, czy tylko rozkoszujesz się dobrą fajką."
LIVINGQUIN4_0_0,"UGH, NO.","UHH, NIE."
LIVINGQUIN4_0_1,So coy. So mysterious.,Taki wstydliwy. Taki tajemniczy.
LIVINGQUIN3_0_0,VILE. PAY NO MIND TO THIS FILTH.,OBRZYDLIWE. NIE ZWRACAJ UWAGI NA TEN BRUD.
LIVINGQUIN3_0_1,"What is he even doing there? Playing with a ball or something?

Clowns are stupid.","Co on tu w ogóle robi? Bawi się piłką, czy coś?

Klauny są głupie."
LIVINGHEAD_0_0,WHAT IS THE MEANING OF THIS RUBBISH.,CO MA ZNACZYĆ TEN ŚMIEĆ.
LIVINGHEAD_0_1,"Ok, even YOU have to admit. This one's pretty funny!

hehehehe!","Dobra, nawet TY musisz to przyznać. Ten jest całkiem zabawny!

hehehehe!"
VAULT01_0_0,SHENANIGANS,SZTUCZKI
PSSAFE_0_0,Retrieve arms from safe.,Odzyskaj ręce z sejfu
PSSAFE_0_1,You already HAVE arms stupid!,"Już MASZ ręce, głupku!"
PSSAFE_1_0,Shoot safe,Strzel w sejf
PSSAFE_1_1,With what?,Niby czym?
PSSAFE_2_0,Open safe,Otwórz sejf
PSDESK_0_0,Make desk into fort and visit IMAGINATION LAND!,Stwórz z biurka fort i odwiedź KRAINĘ WYOBRAŹNI!
PSDESK_0_1,"Wow...

...So like... Where can I get some of YOUR drugs?","Wow...

A więc... Gdzie mogę nabyć trochę TWOICH dragów?"
PSWINDOW_0_0,Unplug window,Odłącz okno
PSWINDOW_0_1,...It's a window...,...To jest okno...
PSWINDOW_1_0,Pick up window,Podnieś okno
PSWINDOW_1_1,That is so infeasable it hurts me.,"To jest tak nierealne, że aż boli"
PSPUMPKIN_0_0,"WOAH, WHAT? THIS IS THE PUMPKIN? HOLYSHITHOLYSHITHOLYSHIT!!!!!!1111","ŁAŁ, CO? TO JEST DYNIA? OKURDEOKURDEOKURDE!!!!!!1111"
PSPUMPKIN_0_1,"No it's pumpkin shaped graffiti...

GAME DEV FACTS:
All Elements (but the pumpkin] drawn by Andrew Hussie in Photoshop, imported and subsequently vectorized, organized, named, and scripted by Alexis 'Gankra' Beingessner... Who is a girl...
148 Objects, 538 lines, 140 bitmaps, 9 souls, 2 pumpkins, This line of code is 16732 characters...","Nie, to graffiti w kształcie dyni..."
PSPUMPKIN_0_2,,"GAME DEV FACTS: 
Wszystkie elementy (z wyjątkiem dyni] narysowane w Photoshopie przez Andrew Hussiego, zaimporotwane i kolejno zwektorowane, przeorganizowane, nazwane i opisane przez Alexis ""Gankra"" Beingessner... Która jest kobietą...
148 obiektow, 538 linii, 140 map bitowych, 9 dusz, 2 dynie. Ta linia kodu ma 17151 znaki..."
IDIOT_MESSAGE_0,Die. Now. Please.,Umrzyj. Teraz. Proszę.
IDIOT_MESSAGE_1,That doesn't even start to make sense.,To nawet nie zaczyna mieć sensu.
IDIOT_MESSAGE_2,My dick. Suck it.,Mój penis. Ssij go.
IDIOT_MESSAGE_3,"So like, you ate a lot of lead as a child?",A więc postrzelono cię za dzieciaka?
IDIOT_MESSAGE_4,"Okay, I'll get right on that Professor Stoopid.","Dobra, zajmę się tym natychmiast Profesorze Goopku."
IDIOT_MESSAGE_5,'You shouldn't drink while you're pregnant.' Tell your mother this,"""Nie powinnaś pić będąc w ciąży."" Powiedz to swojej mamie"
OUTSIDE_SECRET_1,this is not SAFE,to nie jest BEZPIECZNE
OUTSIDE_SECRET_2,Gankra Was Not Here,Gankra tu nie było
CLOSE_DIALOG_SELECT,Close,Zamknij
